date,lat,lon,place_name,product_name,price,unit,quote_id
"Apr 13, 2020",38.1041,-122.2566,"Vallejo, California",Adderall,$8,30mg pill,365469
"Apr 13, 2020",41.6639,-83.5552,"Toledo, Ohio",Adderall XR,$200,15mg pill,365466
"Apr 13, 2020",32.3646,-89.4742,"Forest, Mississippi",Adderall XR,$10,10mg pill,365465
"Apr 13, 2020",32.3538,-89.6545,"Morton, Mississippi",Adderall,$10,10mg pill,365464
"Apr 13, 2020",47.6062,-122.3321,"Seattle, Washington",generic Valium,$3,10mg pill,365461
"Apr 13, 2020",47.6062,-122.3321,"Seattle, Washington",Adderall XR (generic),$2,10mg pill,365460
"Apr 11, 2020",47.6062,-122.3321,"Seattle, Washington",Adderall,$30,30mg pill,365215
"Apr 5, 2020",47.6062,-122.3321,"Seattle, Washington",sildenafil,$10,25mg pill,364643
"Apr 4, 2020",47.6062,-122.3321,"Seattle, Washington",hydrocodone,$3,5mg/325mg pill,364515
"Apr 1, 2020",47.6062,-122.3321,"Seattle, Washington",generic Klonopin,$5,1mg pill,364135
"Apr 13, 2020",47.4875,-120.4981,Washington,buprenorphine combination tablet (generic Suboxone),$13,8mg/2mg pill,365458
"Apr 11, 2020",47.4875,-120.4981,Washington,fentanyl patch,$50,12mcg/h patch,365250
"Apr 9, 2020",47.4875,-120.4981,Washington,Concerta,$40,54mg pill,365024
"Apr 8, 2020",47.4875,-120.4981,Washington,Xanax,$5,2mg pill,364955
"Apr 8, 2020",47.4875,-120.4981,Washington,Adderall XR,$3,15mg pill,364945
"Apr 4, 2020",47.4875,-120.4981,Washington,clonazepam,$1,0.5mg pill,364539
"Apr 4, 2020",47.4875,-120.4981,Washington,"oxycodone / acetaminophen tablet (generic Percocet, Percodan, Tylox)",$25,10mg/325mg pill,364514
"Apr 13, 2020",34.0522,-118.2437,"Los Angeles, California",Vyvanse,$10,60mg pill,365457
"Apr 12, 2020",34.0522,-118.2437,"Los Angeles, California",Soma,$10,350mg pill,365268
"Apr 12, 2020",34.0522,-118.2437,"Los Angeles, California",Lyrica tablet,$10,150mg pill,365265
"Apr 8, 2020",34.0522,-118.2437,"Los Angeles, California",methylphenidate pill,$30,10mg pill,364956
"Apr 7, 2020",34.0522,-118.2437,"Los Angeles, California",Adderall (generic),$15,30mg pill,364824
"Apr 6, 2020",34.0522,-118.2437,"Los Angeles, California",oxycodone pill,$25,30mg pill,364651
"Apr 6, 2020",34.0522,-118.2437,"Los Angeles, California",oxycodone IR pill,$20,30mg pill,364650
"Apr 6, 2020",34.0522,-118.2437,"Los Angeles, California",Dilaudid tablet,$5,4mg pill,364649
"Apr 5, 2020",34.0522,-118.2437,"Los Angeles, California",Klonopin,$15,2mg pill,364633
"Apr 1, 2020",34.0522,-118.2437,"Los Angeles, California",Adderall,$10,20mg pill,364192
